id,category,question,followUp,intensity,type,tags,energy
q0020,Light & Funny,Which game show do you genuinely believe you could win?,What would eliminate you?,1,question,funny|icebreaker,5
q0021,Light & Funny,What is one thing you do differently when nobody is watching?,Would you stop if filmed?,1,question,funny|icebreaker,5
q0022,Light & Funny,Which animal best represents your mood before 9 a.m.?,What about after lunch?,1,question,funny|icebreaker,5
q0023,Light & Funny,What is the most unserious reason you have stopped liking someone?,Was it fair?,1,question,funny|icebreaker,5
q0024,Light & Funny,Which childhood snack would you still defend today?,Has it actually aged well?,1,question,funny|icebreaker,5
q0025,Light & Funny,What is the funniest misunderstanding you have had with an older relative?,Did you ever explain it?,1,question,funny|icebreaker,5
q0026,Light & Funny,Which voice or accent do you imitate far too often?,Who is your best audience?,1,question,funny|icebreaker,5
q0027,Light & Funny,What is the most ridiculous thing you have done to avoid admitting you were wrong?,How long did you maintain it?,1,question,funny|icebreaker,5
q0028,Light & Funny,Which product advert has permanently lodged itself in your brain?,Can you still recite it?,1,question,funny|icebreaker,5
q0029,Light & Funny,What is your go-to excuse when you are running late?,How believable is it?,1,question,funny|icebreaker,5
q0030,Light & Funny,What is the most chaotic meal you have ever attempted to cook?,Was it edible?,1,question,funny|icebreaker,5
q0031,Light & Funny,Which minor skill are you disproportionately proud of?,Could you demonstrate it under pressure?,1,question,funny|icebreaker,5
q0032,Light & Funny,What is the funniest nickname you have ever had?,Who still uses it?,1,question,funny|icebreaker,5
q0033,Light & Funny,Which person in the family would survive longest on a reality show?,Who would be voted out first?,1,question,funny|icebreaker,5
q0034,Light & Funny,What is your most unpopular opinion about breakfast?,Would you defend it publicly?,1,question,funny|icebreaker,5
q0035,Light & Funny,What is the funniest thing you have overheard in London?,Where were you?,1,question,funny|icebreaker,5
q0036,Light & Funny,What would your personal warning label say?,Would people still approach?,1,question,funny|icebreaker,5
q0037,Light & Funny,Which old piece of technology do you secretly miss?,What did it do better?,1,question,funny|icebreaker,5
q0038,Light & Funny,What is the most dramatic weather-related decision you have made?,Did the forecast justify it?,1,question,funny|icebreaker,5
q0039,Light & Funny,Which restaurant dish do you always order even when you promise to try something new?,What would make you switch?,1,question,funny|icebreaker,5
q0040,Light & Funny,What is the funniest way you have injured yourself?,Did you tell the true story?,1,question,funny|icebreaker,5
q0041,Light & Funny,Which family phrase deserves to be printed on a T-shirt?,Who says it most?,1,question,funny|icebreaker,5
q0042,Light & Funny,What is the weirdest thing in your camera roll right now?,How did it get there?,1,question,funny|icebreaker,5
q0043,Light & Funny,What is one thing you are convinced everyone pretends to understand?,Have you ever admitted you do not?,1,question,funny|icebreaker,5
q0044,Light & Funny,Which item would expose you most if someone searched your recent purchases?,How would you explain it?,1,question,funny|icebreaker,5
q0045,Light & Funny,What is the pettiest argument you have ever participated in?,Who was technically right?,1,question,funny|icebreaker,5
q0046,Light & Funny,Which ordinary situation makes you feel like the main character?,What soundtrack is playing?,1,question,funny|icebreaker,5
q0047,Light & Funny,What is the funniest review you could leave for your current life?,How many stars?,1,question,funny|icebreaker,5
q0048,Light & Funny,Which family member would be the worst person to share a hotel room with?,What habit would cause the problem?,1,question,funny|icebreaker,5
q0049,Light & Funny,What is your least impressive hidden talent?,Why do you keep demonstrating it?,1,question,funny|icebreaker,5
q0050,Light & Funny,"If your week had a film title, what would it be?",Who would play you?,1,question,funny|icebreaker,5
q0051,Catch-up,What has changed most in your life since we last had a proper catch-up?,Which change has affected you more than expected?,2,question,life|catch-up,3
q0052,Catch-up,What currently takes up most of your mental space?,Is it something you chose or something imposed on you?,2,question,life|catch-up,3
q0053,Catch-up,What are you quietly proud of at the moment?,Why have you not spoken about it more?,2,question,life|catch-up,3
q0054,Catch-up,What part of your routine is working really well right now?,How did you build it?,2,question,life|catch-up,3
q0055,Catch-up,What part of life currently feels slightly neglected?,What would improve it?,2,question,life|catch-up,3
q0056,Catch-up,What are you looking forward to over the next six months?,What could make it even better?,2,question,life|catch-up,3
q0057,Catch-up,What have you recently changed your mind about?,What caused the shift?,2,question,life|catch-up,3
q0058,Catch-up,Who have you become closer to recently?,What changed between you?,2,question,life|catch-up,3
q0059,Catch-up,What has surprised you most about your current stage of life?,Did you imagine adulthood differently?,2,question,life|catch-up,3
q0060,Catch-up,What is one decision you have been postponing?,What makes it difficult?,2,question,life|catch-up,3
q0061,Catch-up,What is one thing you want more time for?,What currently gets in the way?,2,question,life|catch-up,3
q0062,Catch-up,What have you stopped caring about as much as you used to?,Has that been freeing?,2,question,life|catch-up,3
q0063,Catch-up,What have you started taking more seriously?,Why now?,2,question,life|catch-up,3
q0064,Catch-up,What is the best conversation you have had recently?,What stayed with you afterwards?,2,question,life|catch-up,3
q0065,Catch-up,What is one thing you have learned about yourself this year?,How did you learn it?,2,question,life|catch-up,3
q0066,Catch-up,What is your current definition of success?,How has it changed?,2,question,life|catch-up,3
q0067,Catch-up,What is something people assume is going well for you that is actually complicated?,What would make it easier?,2,question,life|catch-up,3
q0068,Catch-up,What is something difficult that you have handled better than expected?,What helped you through it?,2,question,life|catch-up,3
q0069,Catch-up,What is a recent moment when you felt genuinely content?,What made it feel complete?,2,question,life|catch-up,3
q0070,Catch-up,What relationship in your life currently needs more attention?,What would meaningful effort look like?,2,question,life|catch-up,3
q0071,Catch-up,What are you trying to get better at right now?,How are you measuring progress?,2,question,life|catch-up,3
q0072,Catch-up,What is the biggest source of energy in your life at present?,What drains you most?,2,question,life|catch-up,3
q0073,Catch-up,What boundary have you become better at maintaining?,What taught you to set it?,2,question,life|catch-up,3
q0074,Catch-up,What is one risk you are considering taking?,What is the realistic worst case?,2,question,life|catch-up,3
q0075,Catch-up,What is one opportunity you wish had arrived at a different time?,Would you still take it now?,2,question,life|catch-up,3
q0076,Catch-up,What is one thing you have recently forgiven yourself for?,What made that possible?,2,question,life|catch-up,3
q0077,Catch-up,"What are you currently saving towards, financially or emotionally?",Why does it matter?,2,question,life|catch-up,3
q0078,Catch-up,What is something you wish family asked you about more often?,Why do you think they do not?,2,question,life|catch-up,3
q0079,Catch-up,What part of your personality has become stronger with age?,Has anything softened?,2,question,life|catch-up,3
q0080,Catch-up,What recent disappointment taught you something useful?,Would you approach it differently now?,2,question,life|catch-up,3
q0081,Catch-up,What is one thing you are doing now that your younger self would admire?,What would surprise them?,2,question,life|catch-up,3
q0082,Catch-up,What is one thing your younger self might question about your life now?,How would you answer?,2,question,life|catch-up,3
q0083,Catch-up,What are you currently overthinking?,What advice would you give someone else in the same position?,2,question,life|catch-up,3
q0084,Catch-up,What has become more important to you in friendships?,What matters less now?,2,question,life|catch-up,3
q0085,Catch-up,What is one thing you want to experience before your next birthday?,What is the first practical step?,2,question,life|catch-up,3
q0086,Catch-up,What goal have you outgrown?,What replaced it?,2,question,life|catch-up,3
q0087,Catch-up,What is one thing you are currently trying to simplify?,What made it complicated?,2,question,life|catch-up,3
q0088,Catch-up,What has been the best use of your time lately?,What has been the worst?,2,question,life|catch-up,3
q0089,Catch-up,What is one conversation you know you need to have?,What outcome are you hoping for?,2,question,life|catch-up,3
q0090,Catch-up,What is something you miss about an earlier phase of your life?,Would you genuinely return to it?,2,question,life|catch-up,3
q0091,Catch-up,What is something you do not miss at all?,Why did it once feel normal?,2,question,life|catch-up,3
q0092,Catch-up,What part of your life feels most stable?,What feels most uncertain?,2,question,life|catch-up,3
q0093,Catch-up,What is one thing you would like to be held accountable for?,What support would help?,2,question,life|catch-up,3
q0094,Catch-up,What has made you laugh hardest recently?,Who were you with?,2,question,life|catch-up,3
q0095,Catch-up,What has recently made you feel more hopeful?,Has it changed your plans?,2,question,life|catch-up,3
q0096,Catch-up,What is one thing you want to celebrate properly?,How should it be marked?,2,question,life|catch-up,3
q0097,Catch-up,What do you think you need less of right now?,What do you need more of?,2,question,life|catch-up,3
q0098,Catch-up,What is one personal rule you have recently adopted?,Is it working?,2,question,life|catch-up,3
q0099,Catch-up,What is the most useful advice you have received this year?,Have you actually followed it?,2,question,life|catch-up,3
q0100,Catch-up,"By this time next year, what would you love to say has changed?",What can begin this month?,2,question,life|catch-up,3
q0101,Memories & Family,What childhood meal immediately feels like home?,Who made the best version?,2,story,family|nostalgia,3
q0102,Memories & Family,What family tradition still matters to you?,Should the next generation continue it?,2,story,family|nostalgia,3
q0103,Memories & Family,What is your earliest clear memory?,Why do you think it stayed?,2,story,family|nostalgia,3
q0104,Memories & Family,Which family gathering do you remember most vividly?,What made it memorable?,2,story,family|nostalgia,3
q0105,Memories & Family,What was your favourite age so far?,What did that version of you understand well?,2,story,family|nostalgia,3
q0106,Memories & Family,Which relative made you laugh most as a child?,What was their style of humour?,2,story,family|nostalgia,3
q0107,Memories & Family,What was the atmosphere of the home you grew up in?,What would you preserve or change?,2,story,family|nostalgia,3
q0108,Memories & Family,What did adults frequently say when you were growing up?,Do you hear yourself saying it now?,2,story,family|nostalgia,3
q0109,Memories & Family,What childhood rule seemed unreasonable then but makes sense now?,Which rule still seems ridiculous?,2,story,family|nostalgia,3
q0110,Memories & Family,What was your favourite school-year memory?,Who else would remember it?,2,story,family|nostalgia,3
q0111,Memories & Family,Which teacher had the greatest effect on you?,Was the effect positive or negative?,2,story,family|nostalgia,3
q0112,Memories & Family,What was your first real responsibility?,Did it make you feel grown?,2,story,family|nostalgia,3
q0113,Memories & Family,What family story has been repeated so often that everyone knows it?,Is the story still accurate?,2,story,family|nostalgia,3
q0114,Memories & Family,What smell takes you straight back to childhood?,What scene appears in your mind?,2,story,family|nostalgia,3
q0115,Memories & Family,What was your first experience of earning your own money?,What did you spend it on?,2,story,family|nostalgia,3
q0116,Memories & Family,What did you think adulthood would be like?,What did you get completely wrong?,2,story,family|nostalgia,3
q0117,Memories & Family,Which childhood friendship shaped you most?,Why did it last or end?,2,story,family|nostalgia,3
q0118,Memories & Family,What did you collect or obsess over as a child?,Would you still enjoy it now?,2,story,family|nostalgia,3
q0119,Memories & Family,What was the first journey you remember being excited about?,What made it feel adventurous?,2,story,family|nostalgia,3
q0120,Memories & Family,What family celebration always had the best atmosphere?,Who brought the energy?,2,story,family|nostalgia,3
q0121,Memories & Family,What was your childhood bedroom like?,What object in it mattered most?,2,story,family|nostalgia,3
q0122,Memories & Family,Which older relative would you most like to interview about their life?,What would you ask first?,2,story,family|nostalgia,3
q0123,Memories & Family,What did your family consider a major treat?,Does it still feel special?,2,story,family|nostalgia,3
q0124,Memories & Family,What childhood embarrassment can you laugh about now?,Who remembers it besides you?,2,story,family|nostalgia,3
q0125,Memories & Family,Which family member had the most distinctive sayings?,What was their best one?,2,story,family|nostalgia,3
q0126,Memories & Family,What is one thing your parents or carers did that you appreciate more now?,When did you begin to understand it?,2,story,family|nostalgia,3
q0127,Memories & Family,What is one thing you wish adults had explained better when you were young?,How would you explain it to a child now?,2,story,family|nostalgia,3
q0128,Memories & Family,What childhood fear now seems funny?,Did anyone help you overcome it?,2,story,family|nostalgia,3
q0129,Memories & Family,What was your first favourite song or artist?,Can you still enjoy it sincerely?,2,story,family|nostalgia,3
q0130,Memories & Family,Which old television programme best captures your childhood?,What did everyone watch together?,2,story,family|nostalgia,3
q0131,Memories & Family,What was the best family holiday or day trip?,What almost went wrong?,2,story,family|nostalgia,3
q0132,Memories & Family,Which cousin or sibling were you most competitive with?,What were you competing over?,2,story,family|nostalgia,3
q0133,Memories & Family,What object from your childhood do you wish still existed?,Why did it matter?,2,story,family|nostalgia,3
q0134,Memories & Family,What was your first major disagreement with an adult?,Do you see it differently now?,2,story,family|nostalgia,3
q0135,Memories & Family,What family habit have you inherited?,Are you pleased about it?,2,story,family|nostalgia,3
q0136,Memories & Family,What family habit are you determined not to inherit?,How are you avoiding it?,2,story,family|nostalgia,3
q0137,Memories & Family,What is one sacrifice an older generation made that you understand better now?,How should it be acknowledged?,2,story,family|nostalgia,3
q0138,Memories & Family,Which family member has changed most over the years?,What caused the change?,2,story,family|nostalgia,3
q0139,Memories & Family,What did your neighbourhood feel like growing up?,What has changed most?,2,story,family|nostalgia,3
q0140,Memories & Family,What was the funniest misunderstanding between generations in your family?,Was it ever resolved?,2,story,family|nostalgia,3
q0141,Memories & Family,What was your most treasured possession as a child?,Would it still have value to you?,2,story,family|nostalgia,3
q0142,Memories & Family,What is a childhood moment you wish had been photographed?,Who was there?,2,story,family|nostalgia,3
q0143,Memories & Family,What was the first family secret or grown-up issue you realised existed?,How did it affect your view of adults?,2,story,family|nostalgia,3
q0144,Memories & Family,What did celebrations sound like in your family?,"Which music, voices or sounds stand out?",2,story,family|nostalgia,3
q0145,Memories & Family,What lesson did you learn from watching older relatives rather than from what they said?,Do you live by it?,2,story,family|nostalgia,3
q0146,Memories & Family,Which family member would tell the most accurate story of your childhood?,Where would their version differ from yours?,2,story,family|nostalgia,3
q0147,Memories & Family,What is one memory you and I probably remember differently?,What is your version?,2,story,family|nostalgia,3
q0148,Memories & Family,What is a small kindness from childhood that you still remember?,Did the person know it mattered?,2,story,family|nostalgia,3
q0149,Memories & Family,What family recipe or tradition is at risk of disappearing?,Who should preserve it?,2,story,family|nostalgia,3
q0150,Memories & Family,What would you want future generations of the family to know about us?,How should that story be recorded?,2,story,family|nostalgia,3
q0151,Would You Rather,"Would you rather always travel first class but only once every five years, or travel economy twice every year?",Which part of travel matters most to you?,2,would_you_rather,hypothetical|debate,4
q0152,Would You Rather,Would you rather know exactly how your career will unfold or exactly how your relationships will unfold?,Would certainty make you happier?,2,would_you_rather,hypothetical|debate,4
q0153,Would You Rather,Would you rather live in your dream home in an area you dislike or an average home in your favourite area?,What makes an area feel right?,2,would_you_rather,hypothetical|debate,4
q0154,Would You Rather,Would you rather lose your phone for a month or lose access to your bank card for a week?,Which would disrupt you more?,2,would_you_rather,hypothetical|debate,4
q0155,Would You Rather,"Would you rather be respected by everyone but deeply known by nobody, or deeply known by a few but misunderstood by most?",Which do you currently prioritise?,2,would_you_rather,hypothetical|debate,4
q0156,Would You Rather,Would you rather relive one perfect year or skip ahead to see one future year?,Which year would you choose?,2,would_you_rather,hypothetical|debate,4
q0157,Would You Rather,Would you rather have unlimited free flights or unlimited free hotel stays?,How would you exploit the benefit?,2,would_you_rather,hypothetical|debate,4
q0158,Would You Rather,Would you rather never queue again or never sit in traffic again?,Which wastes more of your life?,2,would_you_rather,hypothetical|debate,4
q0159,Would You Rather,Would you rather only communicate by voice notes or only by phone calls?,Which people would struggle most with your choice?,2,would_you_rather,hypothetical|debate,4
q0160,Would You Rather,Would you rather give up music for a year or television and films for three years?,What would fill the gap?,2,would_you_rather,hypothetical|debate,4
q0161,Would You Rather,Would you rather always be 30 minutes early or always be 10 minutes late?,How would this affect your reputation?,2,would_you_rather,hypothetical|debate,4
q0162,Would You Rather,Would you rather have dinner with your ancestors or your future descendants?,What would you ask?,2,would_you_rather,hypothetical|debate,4
q0163,Would You Rather,Would you rather be able to speak every language or play every musical instrument?,Where would you use the skill first?,2,would_you_rather,hypothetical|debate,4
q0164,Would You Rather,Would you rather live in London with no travel budget or outside London with unlimited weekend travel?,What would you miss?,2,would_you_rather,hypothetical|debate,4
q0165,Would You Rather,Would you rather have a private chef or a full-time cleaner?,Which would improve daily life more?,2,would_you_rather,hypothetical|debate,4
q0166,Would You Rather,Would you rather know the honest opinion everyone has of you or never know when anyone is being insincere?,Could too much honesty damage you?,2,would_you_rather,hypothetical|debate,4
q0167,Would You Rather,Would you rather be famous for something silly or unknown despite doing something important?,How much does recognition matter?,2,would_you_rather,hypothetical|debate,4
q0168,Would You Rather,"Would you rather repeat secondary school with your current knowledge or receive £50,000 now?",What would you do differently at school?,2,would_you_rather,hypothetical|debate,4
q0169,Would You Rather,Would you rather have perfect memory or the ability to forget anything painful on command?,Would forgetting change who you are?,2,would_you_rather,hypothetical|debate,4
q0170,Would You Rather,Would you rather never use social media again or never watch live sport again?,Which community would you lose?,2,would_you_rather,hypothetical|debate,4
q0171,Would You Rather,Would you rather live near all your family in a place you dislike or far away in a place you love?,How often would you realistically visit?,2,would_you_rather,hypothetical|debate,4
q0172,Would You Rather,Would you rather have one extra hour every day or one extra month every year?,How would you spend it?,2,would_you_rather,hypothetical|debate,4
q0173,Would You Rather,Would you rather be able to pause time or rewind ten minutes once a day?,What would be your first use?,2,would_you_rather,hypothetical|debate,4
q0174,Would You Rather,Would you rather always get the cheapest price or always get the best quality?,Where would you make exceptions?,2,would_you_rather,hypothetical|debate,4
q0175,Would You Rather,Would you rather have an excellent career with no public recognition or moderate success with major influence?,What does influence mean to you?,2,would_you_rather,hypothetical|debate,4
q0176,Would You Rather,Would you rather discover a new family secret or uncover a forgotten family achievement?,Would you share what you found?,2,would_you_rather,hypothetical|debate,4
q0177,Would You Rather,Would you rather eat only home-cooked food or only restaurant food for a year?,Which meal would you miss first?,2,would_you_rather,hypothetical|debate,4
q0178,Would You Rather,Would you rather have free childcare or free housing costs for five years?,How would it change family planning?,2,would_you_rather,hypothetical|debate,4
q0179,Would You Rather,Would you rather lose all your old photographs or all your old messages?,Which contains more of your history?,2,would_you_rather,hypothetical|debate,4
q0180,Would You Rather,Would you rather be able to revisit any place exactly as it was in the past or see any place as it will be in 100 years?,Which place would you choose?,2,would_you_rather,hypothetical|debate,4
q0181,Would You Rather,Would you rather have a completely honest friend or a consistently supportive friend?,Can one person be both?,2,would_you_rather,hypothetical|debate,4
q0182,Would You Rather,Would you rather never feel embarrassment or never feel regret?,Which feeling is more useful?,2,would_you_rather,hypothetical|debate,4
q0183,Would You Rather,Would you rather live a very long ordinary life or a shorter extraordinary one?,What would make a life extraordinary?,2,would_you_rather,hypothetical|debate,4
q0184,Would You Rather,Would you rather be the funniest person in every room or the wisest?,Which creates stronger relationships?,2,would_you_rather,hypothetical|debate,4
q0185,Would You Rather,Would you rather always have the perfect response immediately or always make the best decision after reflection?,Which weakness causes you more trouble?,2,would_you_rather,hypothetical|debate,4
q0186,Would You Rather,Would you rather spend a year travelling alone or a year building one major project at home?,What would you hope to gain?,2,would_you_rather,hypothetical|debate,4
q0187,Would You Rather,Would you rather have your dream job with a difficult manager or an average job with an excellent manager?,How much can management shape a role?,2,would_you_rather,hypothetical|debate,4
q0188,Would You Rather,Would you rather be able to read minds for one day or become invisible for one day?,What ethical rule would you set yourself?,2,would_you_rather,hypothetical|debate,4
q0189,Would You Rather,"Would you rather receive £1 million today or £5,000 every month for life?",Which choice suits your temperament?,2,would_you_rather,hypothetical|debate,4
q0190,Would You Rather,Would you rather be unable to lie or unable to detect lies?,Which would damage relationships more?,2,would_you_rather,hypothetical|debate,4
q0191,Would You Rather,Would you rather give up sugar or fried food permanently?,Which cuisine would become hardest?,2,would_you_rather,hypothetical|debate,4
q0192,Would You Rather,Would you rather have a beautiful wedding or an unforgettable honeymoon if you could only fund one properly?,What would your family expect?,2,would_you_rather,hypothetical|debate,4
q0193,Would You Rather,Would you rather raise children near extended family or in the safest possible area far away?,Which support matters most?,2,would_you_rather,hypothetical|debate,4
q0194,Would You Rather,Would you rather be admired for your discipline or loved for your warmth?,Which quality do you naturally show?,2,would_you_rather,hypothetical|debate,4
q0195,Would You Rather,Would you rather restart life at 18 with what you know now or receive a guaranteed healthy extra 20 years?,What would you change first?,2,would_you_rather,hypothetical|debate,4
q0196,Would You Rather,Would you rather only visit places you have never been or only revisit your favourite places?,What destination tests your answer?,2,would_you_rather,hypothetical|debate,4
q0197,Would You Rather,Would you rather permanently lose your sense of taste or your sense of smell?,Which memories depend on them?,2,would_you_rather,hypothetical|debate,4
q0198,Would You Rather,Would you rather have unlimited confidence or unlimited patience?,Which would improve your life more?,2,would_you_rather,hypothetical|debate,4
q0199,Would You Rather,Would you rather know the date of your greatest success or the date of your greatest challenge?,Would you prepare differently?,2,would_you_rather,hypothetical|debate,4
q0200,Would You Rather,Would you rather be remembered accurately by a few people or idealised by millions?,What legacy do you value?,2,would_you_rather,hypothetical|debate,4
q0201,Remove One,"If you had to remove one forever, which would it be: WhatsApp, Google Maps, online banking, or your phone camera?",Which loss would change daily life most?,2,remove_one,ranking|debate,4
q0202,Remove One,"If you had to remove one forever, which would it be: Spotify, YouTube, Netflix, or TikTok?",Which platform gives you the least genuine value?,2,remove_one,ranking|debate,4
q0203,Remove One,"If you had to remove one forever, which would it be: rice, bread, potatoes, or pasta?",Which cuisine suffers most from your removal?,2,remove_one,ranking|debate,4
q0204,Remove One,"If you had to remove one forever, which would it be: Eru, Ndolé, Koki corn, or Poulet DG?",Which choice would cause the biggest family argument?,2,remove_one,ranking|debate,4
q0205,Remove One,"If you had to remove one forever, which would it be: jollof rice, fried plantain, suya, or meat pie?",Which one is most replaceable?,2,remove_one,ranking|debate,4
q0206,Remove One,"If you had to remove one forever, which would it be: Brixton, Peckham, Hackney, or Camden?",What cultural contribution would disappear with it?,2,remove_one,ranking|debate,4
q0207,Remove One,"If you had to remove one forever, which would it be: Victoria line, Jubilee line, Elizabeth line, or Northern line?",How would London cope?,2,remove_one,ranking|debate,4
q0208,Remove One,"If you had to remove one forever, which would it be: Arsenal, Manchester United, Liverpool, or Chelsea?",Would English football be better or worse?,2,remove_one,ranking|debate,4
q0209,Remove One,"If you had to remove one forever, which would it be: afrobeats, hip-hop, R&B, or dancehall?",Which surviving genre absorbs its influence?,2,remove_one,ranking|debate,4
q0210,Remove One,"If you had to remove one forever, which would it be: summer, winter, spring, or autumn?",What do you lose with the season?,2,remove_one,ranking|debate,4
q0211,Remove One,"If you had to remove one forever, which would it be: tea, coffee, juice, or fizzy drinks?",What replaces your choice?,2,remove_one,ranking|debate,4
q0212,Remove One,"If you had to remove one forever, which would it be: Instagram, X/Twitter, Snapchat, or Facebook?",Which removal improves society most?,2,remove_one,ranking|debate,4
q0213,Remove One,"If you had to remove one forever, which would it be: breakfast, lunch, dinner, or late-night snacks?",How would you reorganise eating?,2,remove_one,ranking|debate,4
q0214,Remove One,"If you had to remove one forever, which would it be: weddings, birthday parties, graduations, or family reunions?",Which matters least culturally?,2,remove_one,ranking|debate,4
q0215,Remove One,"If you had to remove one forever, which would it be: London buses, the Underground, black cabs, or ride-hailing apps?",Who would be most affected?,2,remove_one,ranking|debate,4
q0216,Remove One,"If you had to remove one forever, which would it be: cash, debit cards, credit cards, or mobile payments?",Which disappearance causes the most chaos?,2,remove_one,ranking|debate,4
q0217,Remove One,"If you had to remove one forever, which would it be: football, basketball, boxing, or athletics?",What sporting culture would be lost?,2,remove_one,ranking|debate,4
q0218,Remove One,"If you had to remove one forever, which would it be: BBC, ITV, Channel 4, or Sky?",Which broadcaster has contributed least?,2,remove_one,ranking|debate,4
q0219,Remove One,"If you had to remove one forever, which would it be: Notting Hill Carnival, Wireless Festival, Afro Nation, or Glastonbury?",Which audience would complain loudest?,2,remove_one,ranking|debate,4
q0220,Remove One,"If you had to remove one forever, which would it be: Nando's, KFC, McDonald's, or Five Guys?",Which chain is most overrated?,2,remove_one,ranking|debate,4
q0221,Remove One,"If you had to remove one forever, which would it be: Cameroon, Ghana, Nigeria, or Senegal?",You are removing only their food from the world—which loss hurts most?,2,remove_one,ranking|debate,4
q0222,Remove One,"If you had to remove one forever, which would it be: Accra, Lagos, Douala, or Dakar?",Which city would you most want to visit before deciding?,2,remove_one,ranking|debate,4
q0223,Remove One,"If you had to remove one forever, which would it be: London, New York, Paris, or Dubai?",Which city is least essential globally?,2,remove_one,ranking|debate,4
q0224,Remove One,"If you had to remove one forever, which would it be: family approval, financial security, personal freedom, or social status?",Which can you live without most easily?,2,remove_one,ranking|debate,4
q0225,Remove One,"If you had to remove one forever, which would it be: loyalty, honesty, ambition, or kindness?",Which quality becomes dangerous when overvalued?,2,remove_one,ranking|debate,4
q0226,Remove One,"If you had to remove one forever, which would it be: school uniforms, homework, exams, or detention?",Which removal would improve education most?,2,remove_one,ranking|debate,4
q0227,Remove One,"If you had to remove one forever, which would it be: church weddings, traditional weddings, registry weddings, or destination weddings?",Which one offers the least value?,2,remove_one,ranking|debate,4
q0228,Remove One,"If you had to remove one forever, which would it be: WhatsApp family groups, work group chats, school-parent groups, or neighbourhood chats?",Which causes the most unnecessary stress?,2,remove_one,ranking|debate,4
q0229,Remove One,"If you had to remove one forever, which would it be: pepper, onions, garlic, or ginger?",Which removal damages cooking most?,2,remove_one,ranking|debate,4
q0230,Remove One,"If you had to remove one forever, which would it be: beef, chicken, fish, or goat?",Which food culture adapts least easily?,2,remove_one,ranking|debate,4
q0231,Remove One,"If you had to remove one forever, which would it be: cinema, theatre, concerts, or live comedy?",Which experience do you value least?,2,remove_one,ranking|debate,4
q0232,Remove One,"If you had to remove one forever, which would it be: Airbnb, Booking.com, Trainline, or Uber?",Which company could you most easily replace?,2,remove_one,ranking|debate,4
q0233,Remove One,"If you had to remove one forever, which would it be: Oxford Street, Westfield, Camden Market, or Borough Market?",Which destination is most overrated?,2,remove_one,ranking|debate,4
q0234,Remove One,"If you had to remove one forever, which would it be: Wembley, Stratford, Croydon, or Harrow?",Which area would London notice least?,2,remove_one,ranking|debate,4
q0235,Remove One,"If you had to remove one forever, which would it be: secondary school, university, first job, or first serious relationship?",Which phase taught you least?,2,remove_one,ranking|debate,4
q0236,Remove One,"If you had to remove one forever, which would it be: marriage, home ownership, career title, or parenthood?",Which milestone is most overvalued by society?,2,remove_one,ranking|debate,4
q0237,Remove One,"If you had to remove one forever from your work life this year, which would it be: social media, streaming TV, takeaway food, or online shopping?",What makes that option easiest for you to let go of?,2,remove_one,ranking|debate,4
q0238,Remove One,"If you had to remove one forever from your friendships this year, which would it be: group chats, voice notes, photo sharing, or reaction emojis?",What does your choice reveal about your priorities?,3,remove_one,ranking|debate,4
